,HOURLYVISIBILITY,HOURLYWindSpeed,HOURLYPrecip,HOURLYRelativeHumidity,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYStationPressure,HOURLYSeaLevelPressure,HOURLYAltimeterSetting,HOURLYWindDirectionSin,HOURLYWindDirectionCos,HOURLYPressureTendencyIncr,HOURLYPressureTendencyDecr,HOURLYPressureTendencyCons,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
0,10.0,6.0,0.0,76.0,80.0,75.0,72.0,29.81,29.83,29.83,1.22e-16,-1.0,1,0,0,2013,6,30,940,15,1216,-4,VX,N626VA,407,JFK,LAX,313,2475,9,40
1,10.0,11.0,0.0,68.0,67.0,61.0,56.0,30.09,30.11,30.11,0.866025,-0.5,0,1,0,2013,5,7,1657,-3,2104,10,DL,N3760C,329,JFK,SJU,216,1598,16,57
2,10.0,6.0,0.0,56.0,31.0,27.0,17.0,30.58,30.6,30.6,0.173648,0.984808,1,0,0,2013,12,8,859,-1,1238,11,DL,N712TW,422,JFK,LAX,376,2475,8,59
3,10.0,14.0,0.0,57.0,54.0,47.0,39.0,30.03,30.05,30.05,-0.173648,-0.984808,0,1,0,2013,5,14,1841,-4,2122,-34,DL,N914DL,2391,JFK,TPA,135,1005,18,41
4,10.0,9.0,0.0,42.0,87.0,70.0,61.0,29.92,29.94,29.94,0.866025,0.5,1,0,0,2013,7,21,1102,-3,1230,-8,9E,N823AY,3652,LGA,ORF,50,296,11,2
5,10.0,16.0,0.0,44.0,37.0,30.0,17.0,29.9,29.92,29.92,-0.5,0.866025,1,0,0,2013,1,1,1817,-3,2008,3,AA,N3AXAA,353,LGA,ORD,138,733,18,17
6,2.0,13.0,0.0,96.0,39.0,39.0,38.0,29.98,30.01,30.0,0.34202,0.939693,0,1,0,2013,12,9,1259,14,1617,22,WN,N218WN,1428,EWR,HOU,240,1411,12,59
7,10.0,7.0,0.0,84.0,71.0,68.0,66.0,29.73,29.75,29.75,1.22e-16,-1.0,1,0,0,2013,8,13,1920,85,2032,71,B6,N284JB,1407,JFK,IAD,48,228,19,20
8,10.0,9.0,0.0,87.0,61.0,59.0,57.0,29.98,30.0,30.0,-2.45e-16,1.0,1,0,0,2013,9,26,725,-10,1027,-8,AA,N3FSAA,2279,LGA,MIA,148,1096,7,25
9,10.0,22.0,0.0,24.0,62.0,46.0,25.0,30.28,30.3,30.3,0.866025,-0.5,0,1,0,2013,4,30,1323,62,1549,60,EV,N12163,4162,EWR,JAX,110,820,13,23
10,10.0,9.0,0.0,74.0,76.0,70.0,67.0,29.89,29.91,29.91,-0.866025,-0.5,1,0,0,2013,6,17,940,5,1050,-4,B6,N351JB,20,JFK,ROC,50,264,9,40
11,7.0,11.0,0.0,90.0,54.0,52.0,51.0,30.07,30.09,30.09,-0.866025,-0.5,0,1,0,2013,11,22,1320,5,1628,-2,B6,N526JB,1639,LGA,RSW,161,1080,13,20
12,10.0,16.0,0.0,39.0,56.0,45.0,31.0,30.36,30.38,30.38,-0.5,0.866025,1,0,0,2013,4,26,809,-2,1030,22,EV,N16559,5790,EWR,DAY,87,533,8,9
