year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,12,12,624,-6,802,-13,AA,N3BYAA,303,LGA,ORD,123,733,6,24
2013,8,19,2142,102,32,87,UA,N577UA,461,EWR,FLL,145,1065,21,42
2013,6,9,702,-4,950,-6,UA,N568UA,538,EWR,PDX,328,2434,7,2
2013,3,14,1100,60,1230,56,FL,N969AT,353,LGA,CAK,63,397,11,0
2013,5,14,2103,23,2354,1,B6,N506JB,165,JFK,PDX,335,2454,21,3
2013,10,11,2020,70,2241,26,AA,N336AA,21,JFK,LAX,300,2475,20,20
2013,6,9,1658,-7,1913,2,US,N151UW,894,LGA,CLT,84,544,16,58
2013,5,17,1554,-5,1715,-30,B6,N304JB,6,JFK,BUF,60,301,15,54
2013,2,13,1548,0,1837,7,DL,N3754A,95,JFK,ATL,133,760,15,48
2013,7,17,1744,45,2100,101,DL,N327NB,2042,EWR,ATL,137,746,17,44
2013,1,26,1126,-4,1308,-12,WN,N359SW,1141,EWR,STL,147,872,11,26
2013,6,20,748,3,846,-19,WN,N948WN,3841,EWR,MDW,102,711,7,48
2013,6,30,846,-7,1114,-11,EV,N12996,5815,EWR,JAX,124,820,8,46
2013,2,2,1238,-7,1338,-12,AA,N3BDAA,1850,JFK,BOS,39,187,12,38
2013,1,25,1453,18,1702,1,DL,N353NB,1344,LGA,MCI,172,1107,14,53
2013,12,21,1304,4,1602,-3,AA,N434AA,300,EWR,DFW,210,1372,13,4
2013,12,22,1155,-5,1546,23,DL,N197DN,423,JFK,LAX,343,2475,11,55
2013,7,14,1743,3,2039,-7,UA,N37413,1100,EWR,SEA,322,2402,17,43
2013,8,23,2005,5,2238,8,DL,N989DL,1147,LGA,ATL,105,762,20,5
2013,4,14,1346,21,1451,21,US,N954UW,1279,LGA,PHL,43,96,13,46
2013,8,19,627,-3,835,-1,EV,N17115,4535,EWR,MSP,159,1008,6,27
2013,1,3,1549,62,1804,70,EV,N13975,4572,EWR,GSP,110,594,15,49
2013,1,10,1727,-7,1840,-14,B6,N556JB,74,JFK,BTV,46,266,17,27
2013,11,30,1253,-6,1504,3,US,N184US,1863,LGA,CLT,88,544,12,53
2013,3,11,600,0,848,-23,UA,N39297,1077,EWR,MIA,148,1085,6,0
