,Unnamed: 0,HOURLYVISIBILITY,HOURLYWindSpeed,HOURLYPrecip,HOURLYRelativeHumidity,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYStationPressure,HOURLYSeaLevelPressure,HOURLYAltimeterSetting,HOURLYWindDirectionSin,HOURLYWindDirectionCos,HOURLYPressureTendencyIncr,HOURLYPressureTendencyDecr,HOURLYPressureTendencyCons,month,day,dep_time,dep_delay,arr_time,arr_delay,flight,origin,air_time,distance,hour,minute
0,0,10.0,6.0,0.0,76.0,80.0,75.0,72.0,29.81,29.83,29.83,1.22e-16,-1.0,1,0,0,6,30,940,1,1216,0,407,2,313,2475,9,40
1,1,10.0,11.0,0.0,68.0,67.0,61.0,56.0,30.09,30.11,30.11,0.866025,-0.5,0,1,0,5,7,1657,0,2104,1,329,2,216,1598,16,57
2,2,10.0,6.0,0.0,56.0,31.0,27.0,17.0,30.58,30.6,30.6,0.173648,0.984808,1,0,0,12,8,859,0,1238,1,422,2,376,2475,8,59
3,3,10.0,14.0,0.0,57.0,54.0,47.0,39.0,30.03,30.05,30.05,-0.173648,-0.984808,0,1,0,5,14,1841,0,2122,0,2391,2,135,1005,18,41
4,4,10.0,9.0,0.0,42.0,87.0,70.0,61.0,29.92,29.94,29.94,0.866025,0.5,1,0,0,7,21,1102,0,1230,0,3652,2,50,296,11,2
5,5,10.0,16.0,0.0,44.0,37.0,30.0,17.0,29.9,29.92,29.92,-0.5,0.866025,1,0,0,1,1,1817,0,2008,1,353,2,138,733,18,17
6,6,2.0,13.0,0.0,96.0,39.0,39.0,38.0,29.98,30.01,30.0,0.34202,0.939693,0,1,0,12,9,1259,1,1617,1,1428,2,240,1411,12,59
7,7,10.0,7.0,0.0,84.0,71.0,68.0,66.0,29.73,29.75,29.75,1.22e-16,-1.0,1,0,0,8,13,1920,1,2032,1,1407,2,48,228,19,20
8,8,10.0,9.0,0.0,87.0,61.0,59.0,57.0,29.98,30.0,30.0,-2.45e-16,1.0,1,0,0,9,26,725,0,1027,0,2279,2,148,1096,7,25
9,9,10.0,22.0,0.0,24.0,62.0,46.0,25.0,30.28,30.3,30.3,0.866025,-0.5,0,1,0,4,30,1323,1,1549,1,4162,2,110,820,13,23
10,10,10.0,9.0,0.0,74.0,76.0,70.0,67.0,29.89,29.91,29.91,-0.866025,-0.5,1,0,0,6,17,940,1,1050,0,20,2,50,264,9,40
11,11,7.0,11.0,0.0,90.0,54.0,52.0,51.0,30.07,30.09,30.09,-0.866025,-0.5,0,1,0,11,22,1320,1,1628,0,1639,2,161,1080,13,20
12,12,10.0,16.0,0.0,39.0,56.0,45.0,31.0,30.36,30.38,30.38,-0.5,0.866025,1,0,0,4,26,809,0,1030,1,5790,2,87,533,8,9
13,13,9.0,8.0,0.01,89.0,37.0,36.0,34.0,29.54,29.56,29.56,-2.45e-16,1.0,1,0,0,3,25,2054,1,2256,1,645,2,104,762,20,54
14,14,10.0,9.0,0.0,32.0,65.0,50.0,34.0,30.1,30.12,30.12,-0.866025,-0.5,0,1,0,10,21,1217,0,1322,0,34,2,46,266,12,17
15,15,10.0,15.0,0.0,33.0,17.0,12.0,-7.0,30.2,30.22,30.22,-0.866025,0.5,1,0,0,1,23,2024,1,2141,1,4412,2,53,282,20,24
16,16,10.0,15.0,0.0,73.0,34.0,31.0,26.0,30.15,30.17,30.17,0.642788,0.766044,0,1,0,2,8,644,0,817,1,4241,2,45,199,6,44
17,17,10.0,10.0,0.0,55.0,68.0,58.0,51.0,30.02,30.05,30.04,-0.34202,0.939693,1,0,0,8,5,757,0,1041,0,1271,2,131,1069,7,57
18,18,10.0,7.0,0.0,57.0,56.0,49.0,41.0,30.15,30.17,30.17,-0.866025,-0.5,1,0,0,10,21,859,0,1036,1,1030,2,121,719,8,59
19,19,10.0,7.0,0.0,57.0,74.0,64.0,58.0,30.13,30.15,30.15,0.984808,-0.173648,0,1,0,8,18,1638,1,1942,0,27,2,334,2586,16,38
20,20,10.0,8.0,0.0,55.0,54.0,47.0,38.0,30.64,30.66,30.66,0.866025,-0.5,1,0,0,11,5,1126,1,1257,1,5273,2,58,335,11,26
21,21,10.0,7.0,0.0,57.0,39.0,34.0,25.0,30.26,30.28,30.28,0.642788,0.766044,0,1,0,1,15,1626,0,1941,1,369,2,150,1035,16,26
22,22,10.0,18.0,0.0,45.0,30.0,24.0,11.0,29.84,29.86,29.86,-0.984808,-0.173648,1,0,0,2,1,729,1,1018,0,1724,2,154,1023,7,29
23,23,10.0,16.0,0.0,58.0,82.0,71.0,66.0,29.98,30.0,30.0,-0.984808,-0.173648,1,0,0,7,7,2310,1,201,1,97,2,223,1626,23,10
24,24,10.0,16.0,0.0,65.0,40.0,36.0,29.0,29.95,29.97,29.97,-0.939693,0.34202,0,1,0,1,17,626,0,846,1,1433,2,105,544,6,26
25,25,10.0,8.0,0.0,42.0,76.0,62.0,51.0,30.16,30.18,30.18,1.22e-16,-1.0,1,0,0,8,16,1251,0,1433,0,3388,2,83,479,12,51
26,26,10.0,16.0,0.0,62.0,41.0,36.0,29.0,30.29,30.31,30.31,-0.5,0.866025,1,0,0,12,7,1154,0,1356,0,725,2,101,541,11,54
27,27,7.0,11.0,0.0,93.0,50.0,49.0,48.0,29.89,29.91,29.91,-0.173648,-0.984808,1,0,0,4,24,2253,1,5,1,3852,2,53,282,22,53
28,28,10.0,9.0,0.0,62.0,75.0,66.0,61.0,29.95,29.97,29.97,-0.984808,-0.173648,1,0,0,6,8,1839,0,2120,0,1629,2,319,2248,18,39
29,29,10.0,10.0,0.0,60.0,59.0,52.0,45.0,30.21,30.23,30.23,-2.45e-16,1.0,1,0,0,10,8,821,0,1007,0,3478,2,77,502,8,21
30,30,10.0,15.0,0.07,84.0,63.0,60.0,58.0,29.62,29.64,29.64,-0.866025,-0.5,1,0,0,11,1,1058,0,1227,0,1341,2,124,764,10,58
31,31,10.0,7.0,0.0,40.0,64.0,52.0,39.0,30.32,30.34,30.34,-0.766044,0.642788,1,0,0,9,18,933,0,1037,0,317,2,101,733,9,33
32,32,10.0,9.0,0.0,74.0,82.0,76.0,73.0,30.2,30.22,30.22,-0.5,-0.866025,1,0,0,7,5,920,1,1204,0,1,2,302,2475,9,20
33,33,10.0,11.0,0.0,63.0,67.0,60.0,54.0,29.98,30.0,30.0,0.5,0.866025,1,0,0,7,25,752,0,917,1,3709,2,103,719,7,52
34,34,10.0,14.0,0.0,64.0,35.0,31.0,24.0,30.15,30.17,30.17,-0.173648,0.984808,0,1,0,12,24,838,1,1104,1,561,2,237,1620,8,38
35,35,4.0,21.0,0.0,85.0,42.0,40.0,38.0,29.88,29.91,29.9,0.984808,0.173648,0,1,0,4,12,840,1,1240,1,403,2,186,1598,8,40
36,36,10.0,11.0,0.0,27.0,53.0,40.0,20.0,29.99,30.01,30.01,-0.939693,0.34202,0,1,0,5,13,1825,0,2000,0,2131,2,77,502,18,25
37,37,10.0,10.0,0.0,75.0,26.0,24.0,19.0,29.99,30.01,30.01,-0.642788,0.766044,1,0,0,12,18,730,0,1038,0,29,2,140,1035,7,30
38,38,10.0,3.0,0.0,85.0,76.0,73.0,71.0,29.95,29.97,29.97,0.939693,0.34202,1,0,0,7,21,2231,1,2332,1,4218,2,25,94,22,31
39,39,10.0,8.0,0.0,79.0,76.0,71.0,69.0,30.01,30.04,30.03,-0.766044,-0.642788,0,1,0,8,22,1108,0,1352,0,703,2,292,2475,11,8
40,40,10.0,10.0,0.0,41.0,49.0,40.0,26.0,29.84,29.86,29.86,-0.866025,0.5,0,1,0,3,13,1229,1,1342,1,3792,2,53,213,12,29
41,41,10.0,10.0,0.0,39.0,53.0,42.0,28.0,30.04,30.06,30.06,-0.984808,0.173648,1,0,0,10,27,1944,1,2112,1,4224,2,117,725,19,44
42,42,10.0,7.0,0.0,75.0,32.0,29.0,25.0,29.65,29.68,29.67,-0.173648,-0.984808,0,1,0,3,21,1850,1,2020,1,962,2,116,764,18,50
43,43,10.0,18.0,0.0,79.0,44.0,41.0,38.0,29.38,29.4,29.4,-0.766044,0.642788,0,1,0,11,27,1421,0,1709,1,477,2,148,828,14,21
44,44,10.0,6.0,0.0,38.0,42.0,34.0,18.0,30.64,30.66,30.66,0.766044,0.642788,1,0,0,11,4,1822,1,2143,1,1139,2,210,1389,18,22
45,45,10.0,13.0,0.0,73.0,39.0,36.0,31.0,30.43,30.45,30.45,-0.766044,-0.642788,1,0,0,1,8,902,0,1006,0,56,2,47,266,9,2
