Unnamed: 0,HOURLYVISIBILITY,HOURLYWindSpeed,HOURLYPrecip,HOURLYRelativeHumidity,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYStationPressure,HOURLYSeaLevelPressure,HOURLYAltimeterSetting,HOURLYWindDirectionSin,HOURLYWindDirectionCos,HOURLYPressureTendencyIncr,HOURLYPressureTendencyDecr,HOURLYPressureTendencyCons,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
30238,10.0,7.0,0.0,45.0,76.0,63.0,53.0,30.12,30.14,30.14,-0.939693,0.34202,1,0,0,2013,7,30,2147,-8,2258,-31,EV,N13988,3267,EWR,ORF,48,284,21,47
18651,10.0,15.0,0.0,47.0,66.0,55.0,45.0,30.0,30.02,30.02,-1.0,-1.84e-16,1,0,0,2013,9,14,1619,-1,1913,-27,AA,N3FJAA,1410,LGA,MIA,147,1096,16,19
25903,10.0,13.0,0.0,42.0,35.0,28.0,14.0,30.62,30.64,30.64,-0.5,0.866025,1,0,0,2013,11,29,1708,-7,1835,-15,MQ,N605MQ,2949,JFK,BNA,118,765,17,8
22123,10.0,11.0,0.0,50.0,66.0,56.0,47.0,29.78,29.8,29.8,-0.766044,-0.642788,0,1,0,2013,10,22,1256,-4,1539,-26,VX,N641VA,165,EWR,LAX,321,2454,12,56
888,10.0,11.0,0.0,77.0,54.0,50.0,47.0,30.18,30.2,30.2,0.984808,-0.173648,0,1,0,2013,4,29,1602,-8,1743,-17,AA,N553AA,343,LGA,ORD,110,733,16,2
2819,10.0,13.0,0.0,42.0,69.0,56.0,45.0,29.87,29.9,29.89,-0.766044,-0.642788,0,1,0,2013,9,25,1517,-3,1739,-1,MQ,N725MQ,3532,LGA,XNA,156,1147,15,17
5313,10.0,11.0,0.0,84.0,72.0,69.0,67.0,29.57,29.59,29.59,-0.5,-0.866025,1,0,0,2013,6,29,728,-2,1021,11,B6,N705JB,683,JFK,MCO,141,944,7,28
1985,10.0,11.0,0.01,83.0,53.0,50.0,48.0,29.96,29.98,29.98,-0.5,0.866025,0,1,0,2013,12,23,1527,-3,1839,-30,UA,N502UA,257,JFK,SFO,338,2586,15,27
18416,9.0,0.0,0.0,86.0,51.0,49.0,47.0,29.95,29.97,29.97,0.0,1.0,1,0,0,2013,4,9,742,-3,956,-17,DL,N302DQ,807,EWR,ATL,110,746,7,42
19747,10.0,15.0,0.0,51.0,58.0,49.0,40.0,29.63,29.65,29.65,1.22e-16,-1.0,0,1,0,2013,4,1,1351,6,1605,-12,B6,N266JB,615,JFK,JAX,123,828,13,51
12460,0.12,9.0,0.05,93.0,57.0,56.0,55.0,29.89,29.91,29.91,0.34202,-0.939693,1,0,0,2013,12,23,1225,25,1335,20,MQ,N806MQ,3386,JFK,DCA,53,213,12,25
27522,10.0,10.0,0.0,51.0,38.0,32.0,21.0,29.84,29.86,29.86,-0.173648,0.984808,0,1,0,2013,2,16,1656,-4,1911,-32,DL,N368NW,1499,LGA,ATL,114,762,16,56
10859,10.0,15.0,0.0,61.0,68.0,60.0,54.0,30.08,30.1,30.1,-0.173648,-0.984808,0,1,0,2013,9,19,1756,-4,1908,-7,US,N705UW,2191,LGA,DCA,48,214,17,56
22339,10.0,6.0,0.0,83.0,51.0,49.0,46.0,30.25,30.27,30.27,-0.5,-0.866025,0,1,0,2013,11,22,656,-4,856,6,WN,N606SW,4418,EWR,STL,153,872,6,56
21826,10.0,0.0,0.0,84.0,66.0,63.0,61.0,29.94,29.96,29.96,0.0,1.0,0,1,0,2013,9,21,839,-3,1116,-20,UA,N38446,1626,EWR,SAN,318,2425,8,39
28493,10.0,23.0,0.0,77.0,48.0,45.0,41.0,30.04,30.06,30.06,1.22e-16,-1.0,0,1,0,2013,4,7,1802,137,2058,111,DL,N924DL,2098,LGA,MIA,149,1096,18,2
31498,10.0,10.0,0.0,64.0,33.0,29.0,22.0,30.05,30.07,30.07,-0.766044,0.642788,1,0,0,2013,2,25,656,-3,954,16,DL,N609DL,1547,LGA,ATL,131,762,6,56
6942,10.0,11.0,0.0,87.0,73.0,70.0,69.0,29.99,30.01,30.01,1.22e-16,-1.0,0,1,0,2013,7,1,1838,38,1938,25,US,N956UW,2138,LGA,BOS,42,184,18,38
1797,10.0,8.0,0.0,46.0,38.0,31.0,19.0,29.84,29.86,29.86,0.642788,0.766044,1,0,0,2013,3,16,1052,-3,1329,-13,B6,N562JB,1183,JFK,MCO,135,944,10,52
16931,9.0,5.0,0.0,69.0,78.0,71.0,67.0,30.17,30.19,30.19,-0.939693,-0.34202,1,0,0,2013,8,21,800,-5,1045,-10,DL,N310NW,1109,LGA,TPA,137,1010,8,0
17366,6.0,20.0,0.04,93.0,47.0,46.0,45.0,29.94,29.96,29.96,0.173648,-0.984808,0,1,0,2013,3,12,804,-6,1018,-37,DL,N384DA,1429,JFK,LAS,293,2248,8,4
13984,10.0,0.0,0.0,47.0,42.0,35.0,23.0,29.76,29.78,29.78,0.0,1.0,0,1,0,2013,2,13,1454,-6,1638,-17,MQ,N719MQ,4429,LGA,CMH,84,479,14,54
27276,10.0,11.0,0.0,50.0,37.0,31.0,20.0,30.17,30.19,30.19,-0.984808,0.173648,1,0,0,2013,12,24,1823,-1,1933,-12,EV,N11119,4131,EWR,RIC,53,277,18,23
4413,10.0,15.0,0.0,59.0,65.0,57.0,50.0,30.33,30.35,30.35,0.939693,-0.34202,0,1,0,2013,10,13,1535,30,1743,40,EV,N13955,4572,EWR,GSP,85,594,15,35
15396,9.0,10.0,0.0,79.0,75.0,70.0,68.0,29.6,29.62,29.62,-0.866025,-0.5,1,0,0,2013,6,29,908,43,1234,50,UA,N502UA,397,JFK,SFO,323,2586,9,8
14452,10.0,14.0,0.0,81.0,58.0,55.0,52.0,29.89,29.91,29.91,-0.5,0.866025,1,0,0,2013,12,22,1939,14,2236,-9,AA,N3HPAA,2437,LGA,MIA,156,1096,19,39
22367,10.0,6.0,0.0,41.0,41.0,33.0,19.0,30.37,30.4,30.39,-0.173648,0.984808,1,0,0,2013,1,7,1737,-8,2009,-11,MQ,N711MQ,4413,LGA,XNA,170,1147,17,37
4487,10.0,7.0,0.0,85.0,74.0,71.0,69.0,30.05,30.08,30.07,-0.642788,-0.766044,1,0,0,2013,7,9,637,-8,835,0,MQ,N510MQ,3599,LGA,MSP,153,1020,6,37
1244,0.5,9.0,0.0,96.0,57.0,56.0,56.0,29.94,29.96,29.96,0.984808,-0.173648,0,1,0,2013,5,9,732,-3,952,-13,WN,N255WN,2870,LGA,DEN,219,1620,7,32
29151,10.0,9.0,0.0,56.0,61.0,53.0,45.0,29.94,29.96,29.96,-2.45e-16,1.0,1,0,0,2013,9,25,828,2,1021,7,EV,N15983,4537,EWR,MEM,132,946,8,28
8380,10.0,8.0,0.0,81.0,71.0,67.0,65.0,30.01,30.03,30.03,-0.642788,-0.766044,1,0,0,2013,8,30,843,-7,1215,-36,DL,N375DA,301,JFK,SJU,190,1598,8,43
5210,8.0,5.0,0.0,82.0,31.0,29.0,26.0,29.9,29.92,29.92,0.34202,0.939693,0,1,0,2013,2,5,2036,-6,2234,3,EV,N19966,3833,EWR,STL,139,872,20,36
747,10.0,17.0,0.0,32.0,49.0,38.0,20.0,29.8,29.82,29.82,-1.0,-1.84e-16,0,1,0,2013,3,13,1738,0,2002,-2,FL,N944AT,806,LGA,ATL,113,762,17,38
22501,10.0,13.0,0.0,46.0,51.0,42.0,31.0,30.31,30.33,30.33,0.642788,-0.766044,0,1,0,2013,4,15,1602,3,1842,6,US,N520UW,35,JFK,PHX,302,2153,16,2
18388,10.0,17.0,0.0,41.0,49.0,40.0,26.0,30.15,30.17,30.17,-0.866025,-0.5,0,1,0,2013,1,19,1329,4,1815,5,B6,N605JB,705,JFK,SJU,198,1598,13,29
30875,10.0,8.0,0.0,84.0,73.0,70.0,68.0,29.98,30.01,30.0,0.5,-0.866025,1,0,0,2013,7,28,825,-4,1008,4,MQ,N823MQ,3363,JFK,RDU,76,427,8,25
26603,10.0,9.0,0.0,58.0,81.0,71.0,65.0,29.83,29.85,29.85,-0.866025,0.5,1,0,0,2013,6,26,802,-4,1047,-22,UA,N17229,1223,EWR,LAX,314,2454,8,2
23051,10.0,6.0,0.0,32.0,84.0,64.0,51.0,30.1,30.12,30.12,-0.866025,0.5,0,1,0,2013,7,30,1415,105,1549,90,EV,N29917,5796,EWR,CLT,77,529,14,15
4048,10.0,6.0,0.0,61.0,51.0,45.0,38.0,29.76,29.78,29.78,0.866025,0.5,0,1,0,2013,10,23,855,12,1010,13,UA,N836UA,401,EWR,BOS,35,200,8,55
11686,10.0,18.0,0.0,48.0,25.0,20.0,8.0,30.26,30.28,30.28,-0.984808,-0.173648,1,0,0,2013,12,12,1928,28,2229,14,AA,N327AA,21,JFK,LAX,337,2475,19,28
28877,10.0,17.0,0.0,48.0,38.0,32.0,20.0,30.12,30.14,30.14,-0.5,0.866025,0,1,0,2013,11,12,1300,-5,1551,-14,UA,N87507,156,EWR,DFW,211,1372,13,0
29668,10.0,10.0,0.0,73.0,71.0,65.0,62.0,29.86,29.88,29.88,-0.34202,-0.939693,1,0,0,2013,6,17,1902,57,2212,92,DL,N371DA,73,JFK,ATL,106,760,19,2
12124,10.0,14.0,0.0,44.0,69.0,57.0,46.0,30.22,30.24,30.24,-0.173648,-0.984808,0,1,0,2013,9,18,1501,1,1747,-32,DL,N174DN,161,JFK,SEA,319,2422,15,1
3358,10.0,10.0,0.0,77.0,81.0,75.0,73.0,29.85,29.87,29.87,0.984808,-0.173648,0,1,0,2013,7,22,1639,9,2100,75,B6,N559JB,1801,JFK,FLL,154,1069,16,39
28095,10.0,10.0,0.0,56.0,43.0,37.0,28.0,30.29,30.31,30.31,-0.173648,-0.984808,1,0,0,2013,4,7,728,-1,1011,-28,UA,N36444,1591,EWR,IAH,204,1400,7,28
30869,10.0,14.0,0.0,44.0,47.0,39.0,26.0,29.9,29.92,29.92,-0.766044,0.642788,1,0,0,2013,3,27,1021,-9,1318,-22,AA,N323AA,19,JFK,LAX,336,2475,10,21
11971,10.0,13.0,0.0,68.0,65.0,59.0,54.0,29.57,29.59,29.59,-0.642788,-0.766044,0,1,0,2013,11,1,1611,-2,1717,-13,EV,N18557,3824,EWR,IAD,46,212,16,11
32161,10.0,9.0,0.0,47.0,54.0,45.0,34.0,30.22,30.24,30.24,0.5,-0.866025,0,1,0,2013,4,28,1858,-2,2148,17,DL,N671DN,947,LGA,ATL,123,762,18,58
5976,10.0,9.0,0.0,34.0,52.0,41.0,24.0,30.17,30.19,30.19,0.5,0.866025,1,0,0,2013,4,14,2026,64,11,67,UA,N78506,148,EWR,SFO,373,2565,20,26
23913,10.0,11.0,0.0,74.0,82.0,76.0,73.0,30.23,30.25,30.25,-0.173648,-0.984808,1,0,0,2013,7,4,1254,24,1414,22,B6,N273JB,2502,JFK,BUF,55,301,12,54
14655,10.0,14.0,0.0,69.0,74.0,67.0,63.0,30.0,30.02,30.02,-0.173648,-0.984808,0,1,0,2013,7,26,1840,20,2019,7,UA,N813UA,983,EWR,ORD,119,719,18,40
4148,7.0,3.0,0.0,82.0,31.0,29.0,26.0,29.92,29.94,29.94,0.642788,0.766044,0,1,0,2013,2,5,1657,-9,1808,-25,B6,N552JB,36,JFK,ROC,52,264,16,57
8955,10.0,13.0,0.0,36.0,69.0,55.0,41.0,30.15,30.17,30.17,0.5,-0.866025,0,1,0,2013,6,5,1641,1,1842,-3,MQ,N738MQ,4540,LGA,DTW,90,502,16,41
2675,10.0,13.0,0.0,88.0,74.0,71.0,70.0,30.19,30.21,30.21,-0.5,-0.866025,1,0,0,2013,7,3,1914,8,2047,15,UA,N15712,148,EWR,BOS,44,200,19,14
14684,10.0,14.0,0.0,64.0,51.0,45.0,39.0,29.87,29.89,29.89,-0.939693,0.34202,1,0,0,2013,4,20,703,3,954,9,AA,N3HEAA,1949,JFK,LAS,309,2248,7,3
10341,10.0,15.0,0.0,40.0,40.0,32.0,17.0,30.27,30.3,30.29,-0.766044,-0.642788,0,1,0,2013,12,27,1437,-8,1723,-50,UA,N505UA,841,JFK,LAX,309,2475,14,37
11655,0.5,0.0,0.0,96.0,59.0,58.0,58.0,30.1,30.12,30.12,0.0,1.0,1,0,0,2013,5,20,757,-3,1013,-12,UA,N509UA,733,LGA,DEN,204,1620,7,57
2044,10.0,7.0,0.0,65.0,61.0,55.0,49.0,30.25,30.27,30.27,0.766044,-0.642788,0,1,0,2013,10,14,1614,14,1736,16,US,N752US,2187,LGA,DCA,42,214,16,14
14831,10.0,11.0,0.0,58.0,46.0,40.0,32.0,30.05,30.08,30.07,-0.34202,-0.939693,0,1,0,2013,1,19,1756,-4,2048,-10,B6,N640JB,9,JFK,MCO,144,944,17,56
11830,10.0,3.0,0.0,44.0,34.0,28.0,14.0,30.72,30.74,30.74,0.866025,0.5,0,1,0,2013,11,30,1158,2,1421,-3,FL,N951AT,1280,LGA,ATL,121,762,11,58
14135,6.0,0.0,0.0,90.0,60.0,58.0,57.0,30.08,30.1,30.1,0.0,1.0,1,0,0,2013,5,29,748,-7,904,-6,MQ,N804MQ,4418,JFK,DCA,39,213,7,48
6662,10.0,18.0,0.0,79.0,76.0,71.0,69.0,30.1,30.12,30.12,1.22e-16,-1.0,0,1,0,2013,7,2,1655,-7,1953,-8,UA,N420UA,376,LGA,IAH,198,1416,16,55
31035,10.0,17.0,0.0,64.0,59.0,53.0,47.0,29.7,29.72,29.72,-0.939693,0.34202,1,0,0,2013,5,12,848,-2,1035,10,MQ,N842MQ,4406,JFK,RDU,75,427,8,48
26169,10.0,21.0,0.0,73.0,39.0,36.0,31.0,29.88,29.9,29.9,0.866025,0.5,0,1,0,2013,3,6,752,-7,1021,-45,UA,N429UA,288,EWR,DFW,187,1372,7,52
6925,6.0,15.0,0.0,74.0,76.0,70.0,67.0,29.94,29.96,29.96,-0.642788,-0.766044,0,1,0,2013,5,21,1016,16,1318,-11,DL,N711ZX,1765,JFK,SFO,330,2586,10,16
30595,7.0,9.0,0.13,87.0,70.0,67.0,66.0,29.92,29.94,29.94,0.5,-0.866025,0,1,0,2013,8,1,1327,-3,1546,-12,DL,N368NB,2043,JFK,ATL,106,760,13,27
21988,10.0,23.0,0.0,37.0,38.0,30.0,14.0,30.16,30.18,30.18,-0.866025,0.5,1,0,0,2013,2,6,1705,5,1855,16,UA,N838UA,689,LGA,ORD,129,733,17,5
